node index 1,node index 2,phi-coefficient,p-value
1,63,0.16431249944984655,0.02542446514845123
1,64,-0.0077069145085809435,0.9165143782835781
1,65,-0.005434782608695652,0.9410732178311877
1,66,0.08445799058652202,0.2506578990059372
1,67,-0.0077069145085809435,0.9165143782835781
1,68,-0.00946489982592333,0.8975661086916558
1,69,-0.031132950271916402,0.6719641228021886
2,3,0.015615340860826579,0.83180153992701
2,4,0.12464279971425848,0.0900137156994932
2,5,0.029972156458224493,0.6835193412365181
2,6,0.0534183427346822,0.4674906289503806
2,7,0.06917581281798578,0.3467598090012106
2,8,0.09754001180096572,0.18461204651245955
2,9,-0.024940998999955225,0.7344332603028375
2,10,-0.024940998999955225,0.7344332603028375
2,11,-0.024940998999955225,0.7344332603028375
2,12,0.08135213156474189,0.26850643583779576
2,13,0.23982391982108323,0.0011064554623152398
2,14,0.16049231116431179,0.029040859514871138
2,15,0.1945571531388792,0.008138642129281075
2,16,-0.035368139057431414,0.6304747796027962
2,17,-0.024940998999955225,0.7344332603028375
2,18,0.01368766890062474,0.8523095476541667
2,19,0.08903169534074773,0.22590997699914425
2,20,-0.04343578650511755,0.5546607547088442
2,21,0.04733689883550953,0.5196717776200273
2,22,0.1195764573884663,0.10386126196840892
2,23,0.08888055061994135,0.22669888853476355
2,24,0.21803810322318237,0.0030205498057315604
2,25,-0.050293685845424554,0.49393217391043087
2,26,0.06389440816780677,0.3848154577602988
2,27,0.21790557021013512,0.00303829979898628
2,28,0.0534183427346822,0.4674906289503806
2,29,-0.00879904587608081,0.9047366734773012
2,30,-0.09319010228616283,0.2049685493368342
2,31,-0.035368139057431414,0.6304747796027962
2,32,0.062542413719087,0.3949533617232164
2,33,0.0534183427346822,0.4674906289503806
2,34,-0.050293685845424554,0.49393217391043087
2,35,-0.04343578650511755,0.5546607547088442
2,36,-0.16915808532649365,0.02140301147231873
2,37,-0.035368139057431414,0.6304747796027962
2,38,0.015615340860826579,0.83180153992701
2,39,-0.035368139057431414,0.6304747796027962
2,40,-0.013489076344220193,0.8544282561433599
2,41,-0.056386028442164546,0.44312140968047375
2,42,-0.024940998999955225,0.7344332603028375
2,43,-0.1619777945518398,0.027585150718957962
2,44,-0.08557411152913069,0.24445085920321963
2,45,0.10315588811091497,0.16059543833164713
2,46,0.006263536355630494,0.9321077130511397
2,47,0.01598503437893899,0.8278810667278534
2,48,-0.09301012095556115,0.20584465262225593
